domain,n_test,n_rare,svm_acc,svm_acc_pred,svm_auc,dl_acc,dl_auc,ens_acc,ens_auc,ens_acc_tr,ens_auc_tr,svm_recall,dl_recall,ens_recall
ovary,213,11,0.8262910798122066,0.8075117370892019,0.8972852346015193,0.863849765258216,0.9445811558961984,0.8873239436619719,0.9343730193887861,0.8883928571428571,0.9442835939569285,"[0.9005847953216374, 0.5789473684210527, 0.4782608695652174]","[0.9298245614035088, 0.5263157894736842, 0.6521739130434783]","[0.9473684210526315, 0.5789473684210527, 0.6956521739130435]"
testis,141,11,0.6028368794326241,0.5957446808510638,0.749187483212463,0.6099290780141844,0.7338365262145512,0.6737588652482269,0.769234896786819,0.6710526315789473,0.7921080471639517,"[0.9705882352941176, 0.0, 0.3392857142857143]","[0.7647058823529411, 0.17647058823529413, 0.5535714285714286]","[0.9558823529411765, 0.0, 0.5357142857142857]"
retroperitoneum,134,11,0.7611940298507462,0.7686567164179104,0.8986830773796122,0.7686567164179104,0.8775029804488779,0.8059701492537313,0.9128866921780716,0.8,0.9175614685340618,"[0.9529411764705882, 0.4, 0.75]","[0.8941176470588236, 0.5111111111111111, 1.0]","[0.9411764705882353, 0.5333333333333333, 1.0]"
sacrococcyx,97,11,0.7835051546391752,0.7835051546391752,0.8298617045406328,0.865979381443299,0.9237170427222954,0.845360824742268,0.9354188655261714,0.8425925925925926,0.9440938692581371,"[1.0, 0.0, 0.6538461538461539]","[0.9322033898305084, 0.5833333333333334, 0.8461538461538461]","[0.9661016949152542, 0.25, 0.8461538461538461]"
mediastinum,45,11,0.7111111111111111,0.6222222222222222,0.821098696191953,0.7111111111111111,0.8217403591148211,0.7555555555555555,0.8363381785333005,0.75,0.8807874739663936,"[0.8, 0.7272727272727273, 0.0]","[0.8, 0.5454545454545454, 0.5]","[0.9, 0.5454545454545454, 0.25]"
