cls,thresh,net_benefit
MT,0.05,0.6378511044450504
MT,0.1,0.6321243523316061
MT,0.15000000000000002,0.6144468149954283
MT,0.2,0.6075129533678757
MT,0.25,0.5854922279792746
MT,0.3,0.5795706883789785
MT,0.35000000000000003,0.5747309685133519
MT,0.4,0.5647668393782384
MT,0.45,0.544983513895431
MT,0.5,0.533678756476684
MT,0.55,0.5192861255037421
MT,0.6000000000000001,0.49999999999999994
MT,0.6500000000000001,0.47594374537379713
MT,0.7000000000000001,0.4473229706390328
MT,0.7500000000000001,0.4300518134715025
MT,0.8,0.39896373056994816
MT,0.8500000000000001,0.3264248704663212
MT,0.9000000000000001,0.2072538860103625
MT,0.9500000000000001,0.24352331606217617
IT,0.05,0.14425961276247615
IT,0.1,0.1226252158894646
IT,0.15000000000000002,0.10789393477598291
IT,0.2,0.09844559585492227
IT,0.25,0.09671848013816925
IT,0.3,0.09030347890451516
IT,0.35000000000000003,0.07572738142686328
IT,0.4,0.07599309153713298
IT,0.45,0.053226566179934064
IT,0.5,0.05699481865284975
IT,0.55,0.04202648244099021
IT,0.6000000000000001,0.03626943005181346
IT,0.6500000000000001,0.038490007401924486
IT,0.7000000000000001,0.022452504317789283
IT,0.7500000000000001,0.031088082901554393
IT,0.8,0.015544041450777195
IT,0.8500000000000001,-0.0034542314335060664
IT,0.9000000000000001,0.025906735751295335
IT,0.9500000000000001,0.015544041450777202
MGCT,0.05,0.1742568857376602
MGCT,0.1,0.16580310880829016
MGCT,0.15000000000000002,0.1654983236818043
MGCT,0.2,0.16321243523316062
MGCT,0.25,0.1623488773747841
MGCT,0.3,0.16432272390821612
MGCT,0.35000000000000003,0.16420884814667197
MGCT,0.4,0.15889464594127806
MGCT,0.45,0.1568535091851154
MGCT,0.5,0.15025906735751296
MGCT,0.55,0.16119746689694875
MGCT,0.6000000000000001,0.15025906735751293
MGCT,0.6500000000000001,0.12731310140636565
MGCT,0.7000000000000001,0.12435233160621759
MGCT,0.7500000000000001,0.15544041450777202
MGCT,0.8,0.15544041450777202
MGCT,0.8500000000000001,0.13471502590673576
MGCT,0.9000000000000001,0.11398963730569948
MGCT,0.9500000000000001,0.06217616580310881
