stem,cat,dice,hd95
IT_001,ITs,0.9501468287841597,1.4472659826278687
IT_005,ITs,0.9468004774616189,0.621480400814845
IT_007,ITs,0.9302154314628405,0.7031239867210388
IT_011,ITs,0.9619980704730128,0.0
IT_023,ITs,0.9074104460277068,7.869147211313248
IT_047,ITs,0.9503294418368109,0.455752417561642
IT_049,ITs,0.9712396899417283,0.0
IT_055,ITs,0.9537779746197175,1.529297947883606
IT_056,ITs,0.9622013610461222,0.6905336288276998
IT_057,ITs,0.9074815890286354,2.4883196776694048
IT_067,ITs,0.9663278095591231,0.4453125
IT_068,ITs,0.9551707108825098,1.4584077361972543
IT_088,ITs,0.9404159797143067,5.771080206098359
IT_091,ITs,0.9505755327760382,0.6972659826278687
MGCT_010,MGCTs,0.2794262158303616,220.89931466693585
MGCT_014,MGCTs,0.886465508437071,5.0
MGCT_018,MGCTs,0.8723074271928313,4.9921875
MGCT_025,MGCTs,0.9343490451251124,1.1640625
MGCT_028,MGCTs,0.9092211936642309,3.6145173139158784
MGCT_029,MGCTs,0.9394308191103019,0.80859375
MGCT_030,MGCTs,0.7103891708967851,131.0089125178604
MGCT_031,MGCTs,0.9649933899328295,0.560546875
MGCT_033,MGCTs,0.775475447062163,52.44013728310096
MGCT_045,MGCTs,0.9212939521800281,1.2705824974445776
MGCT_049,MGCTs,0.6982291519636281,163.13131810075822
MGCT_051,MGCTs,0.25664260482260787,201.36426220381097
MGCT_053,MGCTs,0.34142922589865093,108.13787723185831
MGCT_058,MGCTs,0.5062243068275833,214.29913786860342
MGCT_059,MGCTs,0.8418129413437005,8.560386709089922
MGCT_070,MGCTs,0.877541798463624,3.4186066571227385
MGCT_073,MGCTs,0.9653426612049524,0.0
MGCT_075,MGCTs,0.8818547533347448,3.1322620697872847
MGCT_079,MGCTs,0.9535743472000623,0.369140625
MGCT_083,MGCTs,0.949928807653291,0.5253909826278687
MGCT_085,MGCTs,0.7072282265105218,98.73063975160117
MGCT_086,MGCTs,0.9547843590412644,0.369140625
MGCT_090,MGCTs,0.8503732338043188,95.24485992305411
MGCT_091,MGCTs,0.7656262165937665,75.61074774399738
MGCT_092,MGCTs,0.938930619577341,0.7851560115814209
MGCT_094,MGCTs,0.6544879898862199,80.5764575517222
MGCT_098,MGCTs,0.0,40.25311135274637
MGCT_111,MGCTs,0.8470744680851063,5.0
MGCT_116,MGCTs,0.9343081824711321,1.171875
MT_012,MTs,0.96777181075048,0.390625
MT_013,MTs,0.9704599514811797,0.0
MT_015,MTs,0.35764919221892516,19.72769583966087
MT_018,MTs,0.9316941770957244,0.956442272493143
MT_027,MTs,0.9589440461050293,0.0
MT_029,MTs,0.9583909529281953,0.0
MT_031,MTs,0.9670739439636706,0.0
MT_040,MTs,0.95535243512071,0.44726601243019104
MT_044,MTs,0.9392530120481928,0.8515620231628418
MT_051,MTs,0.9516719550890895,0.5
MT_054,MTs,0.6871269525462473,96.9916447452595
MT_055,MTs,0.9419983270077635,1.09375
MT_057,MTs,0.8251042074673609,113.51397430827357
MT_058,MTs,0.9296186921391518,1.0005636619669047
MT_060,MTs,0.9404054276568756,0.8554679751396179
MT_065,MTs,0.9680858907535859,0.0
MT_066,MTs,0.9590739665474162,0.0
MT_070,MTs,0.9748746142777532,0.0
MT_072,MTs,0.872842973328355,11.64460921749309
MT_073,MTs,0.8773363167024192,10.876775120639053
MT_077,MTs,0.9662968242697555,0.0
MT_078,MTs,0.7868015387595827,165.97903626152768
MT_091,MTs,0.9787070521528933,0.0
MT_102,MTs,0.4563366171314076,40.987115132129404
MT_108,MTs,0.820010622363058,21.239118113508493
MT_116,MTs,0.9008198444397729,1.87678329786549
MT_125,MTs,0.9164604510095049,0.7265620231628418
MT_132,MTs,0.9689554778706532,0.0
MT_133,MTs,0.5257757146347423,205.9531446021898
MT_139,MTs,0.9219243307726324,3.891081577823071
MT_142,MTs,0.03933036040646246,80.08279555214519
MT_146,MTs,0.8104537251869038,115.73831818132089
MT_149,MTs,0.9579745520643989,0.390625
MT_158,MTs,0.2906363442599102,70.8983496455739
MT_160,MTs,0.961653630610721,0.453125
MT_164,MTs,0.9596652575671191,0.682247726997852
MT_165,MTs,0.8644869352204682,4.2228145953446905
MT_168,MTs,0.9548388234982784,0.0
MT_169,MTs,0.9106241258794529,10.23933581612217
MT_173,MTs,0.9484575589193333,0.4765625
MT_182,MTs,0.91885783168839,0.5993834824901594
MT_188,MTs,0.9374204614618492,0.7043446453225376
MT_198,MTs,0.9426534407935524,0.681640625
MT_207,MTs,0.9474535253453721,0.947708498276278
MT_211,MTs,0.9528516973874255,0.0
MT_214,MTs,0.9242143024253295,2.646484375
MT_216,MTs,0.9345215143595675,1.4296875
MT_221,MTs,0.8831081824145903,5.698842570261526
MT_223,MTs,0.9402672600461783,1.056891504990135
MT_224,MTs,0.9290594894260404,2.1370079500356627
MT_236,MTs,0.907968817669987,1.265625
MT_237,MTs,0.972119541720709,0.0
MT_250,MTs,0.9586585920817726,0.0
MT_251,MTs,0.9204227028808997,67.4474826950978
MT_260,MTs,0.9172187213874078,1.3587911821036005
MT_264,MTs,0.9336524398351284,0.6875
MT_267,MTs,0.9491595338764567,0.5248058141618908
MT_268,MTs,0.8184323079453858,173.72244385619877
MT_269,MTs,0.9742051090473429,0.0
MT_270,MTs,0.8875716645612671,177.12530816212603
MT_274,MTs,0.0,163.39713154011037
MT_277,MTs,0.9522283716865715,0.392578125
MT_278,MTs,0.9354448405200897,1.23828125
MT_284,MTs,0.9075987592185542,1.65625
MT_291,MTs,0.9656160181161875,0.443359375
MT_302,MTs,0.9445194749068122,0.40625
MT_304,MTs,0.9430160834726465,0.8866456123471944
